term|description|level|synonym|scale
bufar-se|saída de gazes intestinais| calão| largar bombarda; peidar-se; traquejar|2
bujeca|cerveja, néctar precioso, imprescindível na vida dos portugueses| coloquial| cerveja; birra; jola; loira; buja; surbia|1
cabelinho à foda-se|| calão|none|2
cabra|é um:| calão| cabrão; cabrãozão|2
cabrão|é um:| calão carroceiro| cabra; cabrãozão|3
cabrãozão|é um:| calão| cabra; cabrão|2
caca|excrementos, fezes consistentes e enformadas| calão| berdamerda; merda; cagalhão; fezes; caganita; poio; cirolho; bunicos; trampa; bosta|2
cacafelho|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| coloquial| ganapo; pirralho; pivete; catraio; puto; miúdo; garoto; guri|1
caçar barulho|armar uma grande confusão| coloquial| armar uma lã de cão; armar um 31; procurar confusão|1
cacete|tipo de pão comprido| calão| bagete|2
cagadeira|casa de banho| calão carroceiro| latrina; retrete; secreta; banheiro; wc; toilette; sanitários; trono; casinha|3
cagalhão|excrementos, fezes consistentes e enformadas| calão carroceiro| berdamerda; merda; caca; fezes; caganita; poio; cirolho; bunicos; trampa; bosta|3
caga-lume|insecto pirilampo| calão| pirilampo; vaga-lume|2
caganifância|&bullet; factos ou coisas de pouco ou nenhum valor| calão|" cunices; merdices; coneirices; coisas de nada; mariquices; insignificâncias; miudências;
          preocupação injustificada"|2
cagão|é um:| calão carroceiro| medricas; cagarolas; cobarde; cobardolas; coneiro; roto; pancona; tanso; lerdo|3
cagar|fazer necessidades fisiológicas sólidas| calão|" defecar; fazer as suas necessidades; arriar o calhau; mandar um telegrama; ir enviar um fax; fazer
          cocó; largar o barro"|2
cagarolas|é um:| calão| cagão; medricas; cobarde; cobardolas; coneiro; roto; pancona; tanso; lerdo|2
cagar orgasmo|ter um enorme orgasmo| calão muito carroceiro|none|4
cagar para dentro|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cavalgar a jibóia; abusar da maçaneta; levar na anilha; tirar leito do pau; queimar rosca
        "|3
cagar sentenças|ser muito opinativo, sem que se lhe reconheça capacidade ou autoridade para tal| calão| dar sentenças; arrotar postas de pescada|2
caga-tacos|pessoa pequena| calão| rodas-baixas; minorca; roda 24; taco de pia|2
cagueiro|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão carroceiro| bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; zuate|3
cair de cu|ficar completamente surpreendido ou pasmado| coloquial| cair de cangalhas|1
calar a caixa|cala-te| coloquial| cala o bico; fecha-me essa cloaca|1
calhordas|é um:| coloquial|" canalha; bandalho; pulha; patife; escroque; sacana; sacripanta; sacrista; biltre; velhaco; futre
        "|1
camisa de Vénus|| calão carroceiro| camisinha; preservativo|3
camisinha|| calão carroceiro| camisa de Vénus; preservativo|3
canastrão|diz-se de alguém grande, deselegante e desajeitado| coloquial|none|1
cangosta|espaço entre as bochechas do cu ou das mamas| calão| rego; vale|2
canzana|"Sexo vaginal por trás; ""Quando
          se está com uma gaja, e se quer mandar uma por trás, a malta diz: -
          Vai uma à kanzana, filha? = Foda na cona por trás"""| calão carroceiro|none|3
caraças|interjeição de desagrado ou de espanto| coloquial|" foda-se!; caralho!; carago!; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!
        "|1
cara de cu à paisana|é um:| calão|none|2
cara de um, cu do outro|indica total ausência de parecenças entre duas pessoas| calão|none|2
carago!|interjeição de desagrado ou de espanto| calão|" foda-se!; caralho!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!
        "|2
caralhadas|&bullet; palavrões, conjunto geral das expressões calão carroceiro| calão|none|2
caralho|órgão sexual masculino, pénis, pênis| calão carroceiro||3
caralho!|interjeição de desagrado ou de espanto| calão carroceiro| foda-se!; carago!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!|3
caralhómetro|é um:| calão|none|2
carocho|indivíduo chato que se não dás uma moedinha acima de 1 euro te risca o carro| calão| estacionador; arrumador|2
carrabagem|monte de miúdos a fazer barulho| coloquial|none|1
catatua|insulto normalmente usado para automobilistas que encandeam os outros com os faróis nos máximos| coloquial|none|1
cavalgar a jibóia|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cagar para dentro; abusar da maçaneta; levar na anilha; tirar leito do pau; queimar rosca
        "|3
cavalo|é um:| coloquial| égua; cavalgadura|1
cavalo de pau|mulher alta, magra e ossuda, sem formas| calão|none|2
cenaita|coisa, situação, estado de coisas| calão|none|2
chá de marmeleiro|apanhar umas pauladas| coloquial| xarope de bengala|1
charro|| coloquial| cavalo; heroína; xarro|1
chatear|| coloquial| aborrecer; incomodar; melgar|1
chato|é um:| coloquial| morcão|1
chavala|namorada, rapariga| coloquial| garina; guria; garota; cruzeta; gaja; pailha; mina; miúda; rapariga|1
chiça|interjeição de desagrado ou de espanto| calão|" foda-se!; caralho!; carago!; caraças; caramba; porra; poça!; droga!; arre porra!; puta que pariu!
        "|2
chiça penico|interjeição de espanto e de quantidade| calão| caraças; chiça; arre çamona|2
chico|militar que se quer evidenciar| coloquial| militarista|1
choça|cadeia| coloquial| pildra; xilindró; prisão; prisa; calabouço; masmorras; cárcere; xadrez|1
chuço|guarda-chuva| coloquial|none|1
chui|referências a um agente da polícia, ou à polícia em geral| coloquial| bófia; judite; polícia; ramona; moina|1
chular|aproveitar-se de, ser parasita de| calão carroceiro|none|3
chulé|mau cheiro dos pés| coloquial| sulfato de peúga; arma de desdruição massiva|1
chulo|é um:| calão carroceiro| azeiteiro; parolo; chunga; pimba; mitra|3
chupa-me a pichota|&bullet; sexo oral masculino| calão estupidamente carroceiro| fazer um broche; fazer um bobó; mamada; fazer um bico; falofagia; felácio|5
chupa-mos!|é um:| calão muito carroceiro|" ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!; ir
          para a puta que o pariu!"|4
chupista|alguém que se aproveita dos outros| coloquial| chulo; parasita; aproveitador; sevandija|1
ciar|ter ciúmes de alguém| calão|none|2
cimento desarmado|cimento ou betão mal feito com ausência de ferro| calão|none|2
cirolho|excrementos, fezes consistentes e enformadas| calão carroceiro| berdamerda; merda; cagalhão; caca; fezes; caganita; poio; bunicos; trampa; bosta|3
coca-bichinhos|alguém muito implicativo e que olhe demasiado aos detalhes| coloquial| não ser um picuinhas; caquenha|1
coirão|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; mulher de mau porte;
          mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|2
colegas são as putas|é um:| calão carroceiro|none|3
colhões|elemento constituinte dos órgãos sexuais masculinos| calão muito carroceiro| quilhões; tomates; testículos|4
colo de brocha|alternativa insultuosa para quem se recusa a fazer um serviço| calão carroceiro| come sopa de minhoca; come merda que não tem osso|3
com a cona aos pulos|diz-se de uma mulher com vontade de sexo| calão muito carroceiro| estar com o pito aos saltos; estar com o cio; estar com tusa; estar cheia de fome|4
come merda que não tem osso|alternativa insultuosa para quem se recusa a fazer um serviço| calão carroceiro| come sopa de minhoca; colo de brocha|3
comer comida de urso|apanhar pancada, ser sovado| calão| levar para o tabaco|2
come sopa de minhoca|alternativa insultuosa para quem se recusa a fazer um serviço| calão carroceiro| come merda que não tem osso; colo de brocha|3
com todos os matadores|sem faltar nada| coloquial|none|1
cona|órgão sexual feminino| calão muito carroceiro|" pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|4
conaça|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|4
cona de sabão|sujeito que só atrapalha| calão carroceiro| enreda; empata; empecilho; estrupício|3
coneirices|&bullet; factos ou coisas de pouco ou nenhum valor| calão carroceiro|" cunices; merdices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada"|3
coneiro|é um:| calão carroceiro| cagão; medricas; cagarolas; cobarde; cobardolas; roto; pancona; tanso; lerdo|3
confundir cagalhões com nêsperas|é um:| calão carroceiro|" misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir o olho do cu com a feira de Montemor; confundir o olho do cu
          com a feira de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o
          corredor de fundo com o fundo do corredor; tomar a nuvem por Juno"|3
confundir o olho do cu com a feira de Borba|é um:| calão|" misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Montemor; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno"|2
confundir o olho do cu com a feira de Montemor|é um:| calão|" misturar alhos com bugalhos; confundir o género humano com o Manuel Germano; confundir a estrada da
          Beira com a beira da estrada; confundir cagalhões com nêsperas; confundir o olho do cu com a feira
          de Borba; confundir a obra-prima do mestre com a prima do mestre de obra; confundir o corredor de
          fundo com o fundo do corredor; tomar a nuvem por Juno"|2
coninha de sabão|representa alguém que é manhoso e interesseiro| calão| interesseiro; egoísta; dissimulado; manhoso|2
coño|é um:| calão carroceiro| nuestros hermanos|3
convém é acordar vivo. Acordas morto estás fodido|expressão depressiva pseudo-optimista que no fundo não diz nada| calão| pelo menos não está a chover; podia ser pior; como estás? nunca pior; para pior não pode ir|2
Corta a tua mãe às postas e faz arroz de puta|insulto a árbitro do mais violento e arrasador que se consegue| calão muito carroceiro|" Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Tens mais cornos que um prato de
          caracóis meu grande filho da puta !; Filho de um saco de putas"|4
crica|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          aranha; fanesga; boca do corpo; xana; snaita"|4
crocodilar|enganar alguém| coloquial| vigarizar; passar a perna a alguém; levar à certa; endrominar; intrujar|1
cromo|diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo| coloquial| chato; aborrecido; incomodativo; melga; gosma; fega; postal; autocolante; adesivo; besunta|1
cu|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão| bunda; alcofa; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate|2
cuarra|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|2
cunices|&bullet; factos ou coisas de pouco ou nenhum valor| calão carroceiro|" merdices; coneirices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada"|3
cunilingus|acto sexual oro-genital, lamber a vagina| calão muito carroceiro| trombada; minete; lamber-te; passar a casa a pano; felácio; broche feminino|4
cusinho lavadinho com águas de rosas|exclamação de não permissão| calão carroceiro| querias!; querias! batatinhas com enguias!|3
dado e arregaçado só o caralho|é um:| calão carroceiro|none|3
damar|fazer a corte, namorar| coloquial| arrastar a asa; galantear; cortejar; fazer pé de alferes; flirtar|1
dar à cremalheira|comer, mastigar| calão| dar ao dente|2
dar de frosques|fugir, afastar-se (de alguém ou de situação problemáticas) | coloquial|" dar ares de Vila Diogo; dar à sola; dar de trancas; cavar; pirar-se; fugir; vazar; pôr-se no piro;
          pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a bulir; pôr-se a
          milhas; pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito; picar a mula;
          escafeder-se; acunhar; pisar fundo"|1
dar de trancas|fugir, afastar-se (de alguém ou de situação problemáticas) | coloquial|" dar ares de Vila Diogo; dar à sola; dar de frosques; cavar; pirar-se; fugir; vazar; pôr-se no piro;
          pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a bulir; pôr-se a
          milhas; pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito; picar a mula;
          escafeder-se; acunhar; pisar fundo"|1
dar-lhe aço|ter relações sexuais| calão||2
dar-me cabo da troika|algo que é uma grande preocupação| coloquial| de pôr a cabeça em água; ser uma dor de cabeça; fazer os cabelos brancos|1
dar o couro às vacas|morreu, faleceu| calão|" bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; quinar; dar o peido mestre;
          dormir o sono eterno; descanso eterno; dar o último suspiro; abotoar o paletó; entregar a alma a
          Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; virar presunto; partir
          deste mundo"|2
dar o cu|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" cagar para dentro; cavalgar a jibóia; abusar da maçaneta; levar na anilha; tirar leito do pau;
          queimar rosca"|3
dar o cu e cinco tostões por|gostar tanto de algo que se fará tudo para o ter, gostar muito| calão|none|2
dar o peido mestre|morreu, faleceu| calão|" bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; quinar; dormir o sono
          eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; abotoar o paletó; entregar a
          alma a Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; virar presunto;
          partir deste mundo"|2
dar sentenças|ser muito opinativo, sem que se lhe reconheça capacidade ou autoridade para tal| coloquial| arrotar postas de pescada; cagar sentenças|1
dar uma caimbrada|copular| calão|" foda; pinocada; queca; coito; tricofáix; dar uma rapidinha; dar uma trancada; berlaitada;
          cambalhota"|2
dar uma rapidinha|copular| calão|" foda; pinocada; queca; coito; tricofáix; dar uma trancada; dar uma caimbrada; berlaitada;
          cambalhota"|2
dar uma trancada|copular| calão|" foda; pinocada; queca; coito; tricofáix; dar uma rapidinha; dar uma caimbrada; berlaitada;
          cambalhota"|2
deputedo|modo de referir o conjunto dos deputados. Mistura insultuosa de putedo e deputados| calão|none|2
desamparar a loja|não me dás largueza, não me deixas em paz, não me deixas trabalhar| coloquial|none|1
desarincanço|"resposta improvisada ou de ocasião a uma questão incómoda ou embaraçosa (por desconhecimento ou por
          desconforto) relativamente à qual se não quer contudo dar 'parte de fraco' ou alegar ignorância"| calão| improviso; desmerdar-se; desenrascanço; desenrasque; saber amanhar-se|2
desmerdar-se|"resposta improvisada ou de ocasião a uma questão incómoda ou embaraçosa (por desconhecimento ou por
          desconforto) relativamente à qual se não quer contudo dar 'parte de fraco' ou alegar ignorância"| calão| desarincanço; improviso; desenrascanço; desenrasque; saber amanhar-se|2
destrambelhado|é um:| coloquial| fraldisqueiro; mal-pronto; mal amanhado|1
doente do cu quente|pessoa que alega, sem motivo, sofrer de doença que o impede de trabalhar| calão| ter uma dor em frente do joelho; ter ossos moles; fingidor; preguiçoso|2
doidivanas|pessoa que gasta tudo o que tem e que não tem de modo boémio| coloquial| estroina; desmiolado; estouvado; esbanjador; perdulário|1
dondoca|&bullet; mulher que se veste bem| coloquial| boysinha|1
dormir como um porco|dormir profundamente| calão|" dormir a sono solto; dormir como um justo; dormir como uma pedra; dormir como um prego; sono
          profundo; estar ferrado a dormir; pegado no sono"|2
drejo|órgão sexual masculino, pénis, pênis| calão||2
embatucar|&bullet; calar-se derrotadamente| coloquial|" meter a viola no saco; meter a língua no saco; meter o rabo entre as pernas; ficar sem fala; perder
          o pio"|1
empalear|não despachar uma tarefa, demorar muito a realizar algo| coloquial| engonhar; enredar; enconar; endrominar|1
empata|sujeito que só atrapalha| coloquial| enreda; empecilho; estrupício; cona de sabão|1
empata fodas|pessoa a mais que estorva casal de namorado| calão carroceiro| servir de pau-de-cabeleira; segurar a vela|3
emplastro|&bullet; alguma coisa que se cola a tudo| coloquial| viscoso; peganhento; pegajoso; gorduroso; sebento|1
Encanar a perna à rã| ser moroso, demorar muito tempo a fazer qualquer coisa| coloquial|none|1
encher chouricos|&bullet; falar sem dizer nada para ocupar o tempo quando algo está atrasado| coloquial| empatar|1
enconar|não despachar uma tarefa, demorar muito a realizar algo| calão carroceiro| engonhar; enredar; empalear; endrominar|3
endrómina|diz-se da pessoa que engana ou tenta enganar| coloquial| vígaro|1
endrominar|não despachar uma tarefa, demorar muito a realizar algo| coloquial| engonhar; enredar; enconar; empalear|1
engatar|&bullet; cavalheiros que tentam seduzir namoradas| coloquial| andar no engate; garanhar; galar|1
engonhar|não despachar uma tarefa, demorar muito a realizar algo| calão| enredar; enconar; empalear; endrominar|2
enrabador de curiosos|resposta dada a quem insiste em perguntar a profissão de alguém| calão carroceiro|none|3
enrabar|sexo anal| calão muito carroceiro| ir ao cu; sodomizar; sodomia|4
enreda|sujeito que só atrapalha| coloquial| empata; empecilho; estrupício; cona de sabão|1
entrefolhos|órgão sexual feminino| calão|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; mexilhão;
          ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha; fanesga;
          boca do corpo; xana; snaita"|2
é o tanas!|é um:| coloquial| o teu avô torto!; a tua avó torta; tanas, badanas e barbatanas; uma ova!|1
escaganifobético|&bullet; diz-se de uma coisa muito estranha, torta, fora do normal| coloquial| escanifobético; estrambólico; escalafobético|1
escalafobético|&bullet; diz-se de uma coisa muito estranha, torta, fora do normal| coloquial| escanifobético; escaganifobético; estrambólico|1
escanifobético|&bullet; diz-se de uma coisa muito estranha, torta, fora do normal| coloquial| escaganifobético; estrambólico; escalafobético|1
escarumba|é um:| calão| mátumbina|2
escorregar na calçada|Deixar-se convencer a ter relações sexuais| calão| escorregar na fonte; deixar-se ir na conversa...|2
escorregar na fonte|Deixar-se convencer a ter relações sexuais| calão| escorregar na calçada; deixar-se ir na conversa...|2
esfodaçar|destruir, estragar tudo| calão carroceiro| dar cabo de|3
esgalhar o ganso|masturbação masculina| calão carroceiro|" bater uma pívia; segóvia; tocar à punheta; esgoviar; espancar o marreco; jogar bilhar de bolso;
          esgalhar o pessegueiro"|3
esgalhar o pessegueiro|masturbação masculina| calão carroceiro|" bater uma pívia; segóvia; tocar à punheta; esgoviar; espancar o marreco; jogar bilhar de bolso;
          esgalhar o ganso"|3
esgoviar|masturbação masculina| calão muito carroceiro|" bater uma pívia; segóvia; tocar à punheta; espancar o marreco; jogar bilhar de bolso; esgalhar o
          ganso; esgalhar o pessegueiro"|4
espancar o marreco|masturbação masculina| calão muito carroceiro|" bater uma pívia; segóvia; tocar à punheta; esgoviar; jogar bilhar de bolso; esgalhar o ganso;
          esgalhar o pessegueiro"|4
espanholada|copular substituindo a vagina pelo seio das mamas| calão muito carroceiro| punheta de mamas|4
esporra|sémen, esperma| calão| langonho; nanha; beita; porra; meita|2
esquema|engano, logro, plano engenhoso para enganar alguém| coloquial| conto do vigário; vigarice; intrujice|1
essa é mais velha do que o cagar de pé|coisa óbvia e sobejamente conhecida| calão| ser mais velho que o cagar; vulgaridade|2
estar abananado|&bullet; Homem em estado de de erecção| calão| estar com uma ponta!; estar com tesão; estar com touça; estar de pau feito; erecção|2
estar a dar tilt|ficar maluco momentaneamente| coloquial| flipar; marar; passar-se; perder a cabeça; pirar de vez|1
armado em parto|indivíduo com atitudes estúpidas e desafiadoras, ou com um discurso incongruente| coloquial|none|1
estar cheia de fome|diz-se de uma mulher com vontade de sexo| calão carroceiro| estar com o pito aos saltos; com a cona aos pulos; estar com o cio; estar com tusa|3
estar com a caganeira|diarreia| calão| pintar a sanita; desarranjo dos intestinos; furrica; furriqueira; desventria|2
estar com o cio|diz-se de uma mulher com vontade de sexo| calão muito carroceiro| estar com o pito aos saltos; com a cona aos pulos; estar com tusa; estar cheia de fome|4
estar com o pito aos saltos|diz-se de uma mulher com vontade de sexo| calão estupidamente carroceiro| com a cona aos pulos; estar com o cio; estar com tusa; estar cheia de fome|5
