,term,description,level,synonym,scale
2961,grana,dinheiro, coloquial," carcanhois; bago; taco; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil
          metal; pastel; pasta; dinheiro; guito; guita; tutu; verdinha",1
2962,granadas,"diz-se de alguém muito convencido, arrogante e que se gaba mesmo do que não faz", coloquial, gabarolas; ser um convencido; armante; fanfarrão,1
2974,grelo,é um:, calão estupidamente carroceiro, pingalim; clitóris,5
2975,greta,órgão sexual feminino, calão carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",3
2977,griso,muito frio, coloquial, briol; está um frio de rachar; está cá um barbeiro,1
2983,grupo,"mentira, partida, brincadeira", coloquial, treta; peta; patranha; reinação; bai no Batalha,1
2996,guri,"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe", coloquial, ganapo; pirralho; pivete; catraio; puto; miúdo; garoto; cacafelho,1
3014,holofotes,"seios de mulher, busto", coloquial, mamas; tetas; marmelos; peitos; faróis; pára-choques; seios; prateleiras; marufas,1
3038,imbondeiro,é um:, calão,none,2
3047,índio,diz-se de alguém exibicionista e de comportamento irracional, coloquial, palhaço,1
3074,ir à guna,ir pendurado do lado de fora dos eléctricos, coloquial, ir à borla,1
3078,ir ao cu,sexo anal, calão muito carroceiro, enrabar; sodomizar; sodomia,4
3088,ir às meninas,ir às prostitutas, calão carroceiro,none,3
3098,ir chupar uma piroca!,é um:, calão muito carroceiro," ir para o caralho!; ir para a cona da tia Virgínia!; não enche o saco!; chupa-mos!; ir para a puta
          que o pariu!",4
3099,ir com o cu à rua,&bullet; despedir ou ser despedido, calão, pôr na rua; pôr no olho da rua; porta da rua é serventia da casa!,2
3107,ir à merda,é um:, calão carroceiro, mandar à outra banda; vai à berdamerda; mandar abaixo de Braga,3
3115,ir nas horas do caralho,"rapidez, com elevada velocidade", calão, bolina; esgalha; gazonete; gáspea; na mecha; bisga; estilha,2
3120,ir para a cona da tia Virgínia!,é um:, calão muito carroceiro," ir para o caralho!; ir chupar uma piroca!; não enche o saco!; chupa-mos!; ir para a puta que o
          pariu!",4
3123,ir para a puta que o pariu!,é um:, calão muito carroceiro," ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!;
          chupa-mos!",4
3127,ir para o caralho!,é um:, calão carroceiro," ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!; chupa-mos!; ir para a
          puta que o pariu!",3
3165,já cheira mal,&bullet; algo do qual já estou farto, coloquial,none,1
3185,já se sabe o que a casa gasta,"já conheço bem a pessoa ou situação, já estou preparado para isto", coloquial,none,1
3188,jeco,é um:, coloquial, porco,1
3193,jogar bilhar de bolso,masturbação masculina, calão muito carroceiro," bater uma pívia; segóvia; tocar à punheta; esgoviar; espancar o marreco; esgalhar o ganso; esgalhar
          o pessegueiro",4
3206,judite,"referências a um agente da polícia, ou à polícia em geral", coloquial, chui; bófia; polícia; ramona; moina,1
3231,lambe cricas,"animal que tem o costume de lamber muito as pessoas, ainda que estranhos", calão carroceiro,none,3
3247,langonho,"sémen, esperma", calão, esporra; nanha; beita; porra; meita,2
3249,lapada,pancada na cara, calão, chapada; chapo; chapadão; bofetada; tabefe; lambada; estalo; levar uma à costa da mão!,2
3252,largar o barro,fazer necessidades fisiológicas sólidas, coloquial," cagar; defecar; fazer as suas necessidades; arriar o calhau; mandar um telegrama; ir enviar um fax;
          fazer cocó",1
3253,largar bombarda,saída de gazes intestinais, calão, peidar-se; bufar-se; traquejar,2
3256,larilas,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
3260,laurear a pevide,"sair de casa sem ser por razões profissionais ou por obrigação;
          dar um passeio", coloquial, arejar a pevide; passear; cirandar; dar uma volta; dar um giro; ir tomar ar,1
3271,lelé,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; abafa-palhinha; gay; bamby; xibungo",2
3277,lerpar,"&bullet; Esperando algo que não aconteceu ou não apareceu, esperar em vão", coloquial," ficar a ver Braga por um canudo; ficar a ver navios; ficar a chuchar no dedo; ficar com as mãos a
          abanar; voltar de mãos vazias",1
3311,levar na anilha,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; tirar leito do pau; queimar
          rosca",3
3314,levar nos cornos,"sova, raspanete", coloquial,none,1
3315,levar para o tabaco,"apanhar pancada, ser sovado", calão, comer comida de urso,2
3317,levar que contar,"dar ou apanhar pancada, tareia", calão, levar uma lição; levar uma trepa,2
3351,,afirmar um desprezo completo em relação a algo, calão muito carroceiro,none,4
3358,lingrinhas,&bullet; homossexual masculino passivo, coloquial," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",1
3377,loira,"usa-se para descrever mulheres muito bonitas, vaidosas, pouco inteligentes e que normalmente só
          pensam em sexo", coloquial,,1
3384,lumes de cona,calores vaginais, calão carroceiro, ardiúmes na pachacha; febres da pita,3
3392,macaronho,é um:, calão carroceiro, chulo; azeiteiro; azeite; proxeneta,3
3403,mágico,piloto aviador, coloquial,none,1
3411,mais do que três sacudidelas é punheta,reclamação jocosa e brejeira quando um homem demora muito tempo a urinar, calão carroceiro,none,3
3413,mais longe que o caralho mais velho,diz-se de um sítio muito longe, calão carroceiro," n3; ficar lá para os quintos dos infernos; morar em casa do Diabo mais velho; cascos de rolha;
          ficar para lá do sol posto; onde o Diabo perdeu as botas; depois do fim do mundo; para lá de Santa
          Cona do Assobio; no meio de nenhures; onde Judas perdeu as botas",3
3441,mamada,&bullet; sexo oral masculino, calão muito carroceiro, fazer um broche; fazer um bobó; chupa-me a pichota; fazer um bico; falofagia; felácio,4
3442,mama mas não abuses,"diz-se quando alguém que está a abusar, ou ameaça abusar", coloquial, estar a vontadinha; não te estiques; hoje não é o dia mundial do elástico!; estás-te a esticar,1
3447,,é um:, coloquial, mandar pentear macacos; vai chatear o Camões!; vai dar a volta ao bilhar grande,1
3453,mandar abaixo de Braga,é um:, coloquial, ir à merda; mandar à outra banda; vai à berdamerda,1
3455,mandar pentear macacos,é um:, coloquial,,1
3456,mandar o Bernardo às compras,ter relações sexuais, calão,,2
3459,mandar postas,"especular, falar sem grande fundamentação", coloquial, bitaites; bitaitar; palpites,1
3470,mangação,"estar a brincar, estar a mangar comigo", calão, brincadeira; gozo; reinação,2
3472,mangaruça,"usar de vantagem ilegítima ou indevida para ultrapassar parceiros ou competidores (usualmente sem
          grande impacto económico ou social) ", calão, aldrabice; batota; batotice; tramóia; esperteza saloia,2
3473,manguela,é um:, coloquial, manga; moina; moinante; preguiçoso; sorna; mandrião; calaceiro; calão,1
3476,mano,"usa-se como um modo, ligeiramente irreverente, de referir uma pessoa", coloquial, gajo; tipo; meco; caramelo; indivíduo; fulano; fabiano; bacano; melro,1
3486,mão de aranha,"&bullet; Pessoa que tem pouca habilidade manual, designadamente na preensão dos objectos (que deixa
          frequentemente cair ao chão) ", coloquial, abécula; aselha; desajeitado,1
3495,marar,ficar maluco momentaneamente, coloquial, flipar; passar-se; perder a cabeça; pirar de vez; estar a dar tilt,1
3496,"maravilha, maravilha é tirar da mãe e meter na filha!",referência brejeira de que mãe como a filha são sexualmente apelativas, calão carroceiro,none,3
3505,mariazinha,level:, calão,none,2
3506,maricas,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",2
3514,marmelos,"seios de mulher, busto", coloquial, mamas; tetas; holofotes; peitos; faróis; pára-choques; seios; prateleiras; marufas,1
3515,marrã,"mulher jovem, ainda não totalmente mulher", coloquial, pita; miúda,1
3516,marrão,que estuda muito, calão,none,2
3518,marsápio,"órgão sexual masculino, pénis, pênis", calão,,2
3519,marsapo,"órgão sexual masculino, pénis, pênis", calão,,2
3523,marufas,"seios de mulher, busto", coloquial, mamas; tetas; marmelos; holofotes; peitos; faróis; pára-choques; seios; prateleiras,1
3536,matar o bicho,&bullet; comer, coloquial, matar a fome,1
3542,mátumbina,é um:, calão, escarumba,2
3553,meco,"usa-se como um modo, ligeiramente irreverente, de referir uma pessoa", coloquial, gajo; tipo; caramelo; indivíduo; fulano; fabiano; bacano; mano; melro,1
3571,meita,"sémen, esperma", calão, esporra; langonho; nanha; beita; porra,2
3573,melga,é um:, coloquial, chato; aborrecido; incomodativo; gosma; fega; cromo; postal; autocolante; adesivo; besunta,1
3574,melgar,, coloquial, chatear; aborrecer; incomodar,1
3582,menina rocha,"usa-se para descrever mulheres muito bonitas, vaidosas, pouco inteligentes e que normalmente só
          pensam em sexo", coloquial,,1
3595,merda,"excrementos, fezes consistentes e enformadas", calão carroceiro, berdamerda; cagalhão; caca; fezes; caganita; poio; cirolho; bunicos; trampa; bosta,3
3596,merdices,&bullet; factos ou coisas de pouco ou nenhum valor, calão," cunices; coneirices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada",2
3597,meretriz,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",2
3613,meter a viola no saco,&bullet; calar-se derrotadamente, coloquial, meter a língua no saco; meter o rabo entre as pernas; embatucar; ficar sem fala; perder o pio,1
3645,"meu dito, meu feito",Actuar imediatamente de acordo com o que foi anunciado ou proposto, coloquial, se bem o disse melhor o fez; ser tiro e queda,1
3647,mexilhão,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",4
3649,miasco,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
3650,mijão,pessoa com muita sorte, calão, piçudo; sortudo,2
3651,mijar,urinar, calão carroceiro,,3
3652,mijar nos finados,"trair, desrespeitar os antepassados", calão,none,2
3653,mijo,urina, calão, xixi; urina,2
3658,minete,"acto sexual oro-genital, lamber a vagina", calão estupidamente carroceiro, trombada; cunilingus; lamber-te; passar a casa a pano; felácio; broche feminino,5
3659,mineteiro,pessoa que faz o cunnilingus, calão muito carroceiro, trombeiro,4
3662,minorca,pessoa pequena, coloquial, caga-tacos; rodas-baixas; roda 24; taco de pia,1
3675,miudências,&bullet; factos ou coisas de pouco ou nenhum valor, coloquial," cunices; merdices; coneirices; coisas de nada; mariquices; insignificâncias; caganifância;
          preocupação injustificada",1
3679,mó,usado como vocativo em exclamações ou interrogações, calão, pá; ó meu; moço,2
3694,moina,"referências a um agente da polícia, ou à polícia em geral", coloquial, chui; bófia; judite; polícia; ramona,1
3696,"moita, carrasco","não contar tudo, guardar segredos, esconder, fazer mistério", coloquial, fechar-se em copas; esconder o jogo; guardar segredo; fazer caixinha,1
3705,monção,ex.:, calão,none,2
3708,monga,é um:, coloquial,none,1
3710,monstrão,homem muito musculado, coloquial, saradão; Rambo,1
3717,monta-te num porco,é um:, calão, vai-te foder; vai ver se estou lá fora!,2
3718,montês,"rural sofisticado, interessante", coloquial,none,1
3752,moufar,comer, coloquial, morfar; dar ao dente,1
3753,mouro,term depreciativo para designar os lisboetas e habitantes do sul, coloquial, sarraceno,1
3765,mulher boa,mulher ou rapariga muito jeitosa, calão, toura; tuxa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho,2
3797,naifa,, coloquial, aço; fava; navalha; facalhão; ponta e mola,1
3802,na mecha,"rapidez, com elevada velocidade", coloquial, bolina; esgalha; gazonete; gáspea; bisga; estilha; ir nas horas do caralho,1
3806,nanha,"sémen, esperma", calão, esporra; langonho; beita; porra; meita,2
3818,não bater bem da bola,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; ter
          a rosca moída; bater mal da tola; não ser bom da cabeça",1
3835,não dar pica,"emoção, vontade", calão, tesão,2
3859,não enche o saco!,é um:, calão," ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; chupa-mos!; ir para a
          puta que o pariu!",2
3877,não fazer a ponta de um corno,não fazer nada de útil, coloquial, andar a coçar os colhões,1
3882,não fazer nenhum,ser muito perguiçoso, coloquial,,1
3883,não fazer nestum,não fazer nada, coloquial,,1
3887,não fazer a ponta de um corno,não fazer nada, coloquial,,1
3888,não fazer um chavelho,não fazer nada, coloquial,,1
3891,não fode nem sai de cima,"ficar irresoluto, não andar em frente", calão carroceiro, não ata nem desata; sem atar nem desatar,3
4013,não ser um picuinhas,alguém muito implicativo e que olhe demasiado aos detalhes, coloquial, caquenha; coca-bichinhos,1
4026,não ter com que comprar os melões,"&bullet; sem dinheiro, a mendigar", coloquial," andar ó tio ó tio; sem cheta; uma mão atrás e outra à frente; andar nas lonas; estar à dependura;
          sem um tusto; estar na merda; estar liso; estar teso; teso como um carapau; pedinchar; andar a pedir
          esmola; andar à moina; voar baixinho",1
4063,,não fazer nada, coloquial, não fazer a ponta de um corno; não fazer um chavelho; não fazer nestum; não fazer nenhum,1
4064,,, calão,none,2
4072,,, calão carroceiro,,3
4081,nascer com o cu virado para a Lua,"pessoa a quem tudo corre bem, com imensa sorte (amor, jogo, emprego) sem precisar de se esforçar
        ", calão, sortudo,2
4112,nem que te fodas,expressão de negação veemente., calão carroceiro," nem que a vaca tussa; nem pensar; nem que me matem; nem à quinta facada; nem que chovam picaretas
        ",3
4140,ninho,órgão sexual feminino, calão carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",3
4154,,, calão,,2
4229,oferecida,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; bicha de angola; galdéria; rameira
        ",2
4235,"oh minha puta, tu precisavas que te enfiassem uma pescada pelo parreco acima que te mordesse
      os ovários e te espetasse as escamas nas bordas da cona!",é um:, calão estupidamente carroceiro,none,5
4251,olho do cu,ânus, calão carroceiro,none,3
4256,ó meu,usado como vocativo em exclamações ou interrogações, coloquial, pá; mó; moço,1
4258,o meu velho,expressão mais ou menos carinhosa de referir o pai ou mãe, coloquial,none,1
4269,,, calão,none,2
4316,ostra,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",4
4317,os três pratos,"sexo envolvendo boca, cu e cona", calão muito carroceiro,none,4
4339,pá,usado como vocativo em exclamações ou interrogações, coloquial, ó meu; mó; moço,1
4340,pachacha,órgão sexual feminino, calão muito carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",4
4344,pacote,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", coloquial, bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; regueifa; cagueiro; zuate,1
4363,paitrocínio,patrocínio dos pais, coloquial, patrocínio da CP,1
4378,palhaço,é um:, coloquial, índio,1
4384,panão,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
4385,panasca,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
4387,pancada de criar bicho,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à porra e à maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; porrada
          velha",1
4393,paneleiro,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
4395,panilas,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
4396,panisga,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
4399,panuco,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",2
4408,papava-te tipo happy meal,é um:, calão,none,2
4418,para lá de Santa Cona do Assobio,diz-se de um sítio muito longe, calão carroceiro," n3; ficar lá para os quintos dos infernos; morar em casa do Diabo mais velho; cascos de rolha;
          ficar para lá do sol posto; mais longe que o caralho mais velho; onde o Diabo perdeu as botas;
          depois do fim do mundo; no meio de nenhures; onde Judas perdeu as botas",3
4433,parece que andas a pisar ovos,é um:, coloquial,none,1
4443,parreco,órgão sexual feminino, calão," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",2
4465,passar a casa a pano,"acto sexual oro-genital, lamber a vagina", calão carroceiro, trombada; minete; cunilingus; lamber-te; felácio; broche feminino,3
4487,passarinha,órgão sexual feminino, calão," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",2
4497,passar-se,ficar maluco momentaneamente, calão, flipar; marar; perder a cabeça; pirar de vez; estar a dar tilt,2
4498,passar-se dos carretos,&bullet; _ muito zangado, coloquial," ficar verde de raiva; estar pior que estragado; estar fora de si; perder as estribeiras; estar
          virado do avesso; ficar piurso; ficar uma fera; ficar furioso; ficar furibundo; ficar tresloucado;
          ficar deitar fumo pelas orelhas; saltar-lhe a tampa; mandar-se ao tecto; perder a tramontana; perder
          o norte; desnortear-se; ferver em pouca água; ferver-lhe o sangue nas veias",1
4507,pasta,dinheiro, coloquial," carcanhois; bago; taco; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil
          metal; grana; pastel; dinheiro; guito; guita; tutu; verdinha",1
